ciclo,injetado_kt,retirado_kt,eficiencia,agua_produzida_kt,fp_injecao,fp_retirada,P_falha_MPa,reativacao
1,0.085,0.017,0.205,0.295,1.1,0.9,35.313,false
2,0.081,0.033,0.409,0.269,1.1,0.9,35.313,false
3,0.09,0.047,0.526,0.245,1.1,0.9,35.313,false
4,0.098,0.059,0.604,0.228,1.1,0.9,35.313,false
5,0.105,0.069,0.656,0.218,1.1,0.9,35.313,false
6,0.112,0.078,0.695,0.209,1.1,0.9,35.313,false
7,0.142,0.091,0.637,0.198,1.1,0.9,35.313,false
8,0.096,0.103,1.074,0.189,1.1,0.9,35.313,false
9,0.164,0.115,0.704,0.178,1.1,0.9,35.313,false
10,0.174,0.127,0.729,0.169,1.1,0.9,35.313,false
1,0.046,0.007,0.142,0.303,1.05,0.9,34.597,false
2,0.042,0.015,0.354,0.286,1.05,0.9,34.597,false
3,0.045,0.021,0.464,0.276,1.05,0.9,34.597,false
4,0.048,0.026,0.548,0.266,1.05,0.9,34.597,false
5,0.051,0.031,0.614,0.256,1.05,0.9,34.597,false
6,0.053,0.035,0.663,0.249,1.05,0.9,34.597,false
7,0.056,0.039,0.703,0.243,1.05,0.9,34.597,false
8,0.058,0.043,0.735,0.238,1.05,0.9,34.597,false
9,0.06,0.046,0.759,0.234,1.05,0.9,34.597,false
10,0.062,0.048,0.777,0.231,1.05,0.9,34.597,false
1,0.085,0.021,0.253,0.464,1.1,0.85,35.279,false
2,0.082,0.041,0.497,0.422,1.1,0.85,35.279,false
3,0.09,0.056,0.618,0.389,1.1,0.85,35.279,false
4,0.098,0.068,0.693,0.367,1.1,0.85,35.279,false
5,0.104,0.078,0.746,0.352,1.1,0.85,35.279,false
6,0.11,0.086,0.785,0.337,1.1,0.85,35.279,false
7,0.142,0.102,0.715,0.313,1.1,0.85,35.279,false
8,0.153,0.115,0.75,0.294,1.1,0.85,35.279,false
9,0.097,0.127,1.306,0.283,1.1,0.85,35.279,false
10,0.172,0.138,0.802,0.27,1.1,0.85,35.279,false
1,0.046,0.004,0.081,0.131,1.05,0.95,34.615,false
2,0.042,0.009,0.216,0.129,1.05,0.95,34.615,false
3,0.045,0.013,0.301,0.126,1.05,0.95,34.615,false
4,0.047,0.017,0.368,0.124,1.05,0.95,34.615,false
5,0.05,0.021,0.423,0.121,1.05,0.95,34.615,false
6,0.053,0.025,0.468,0.119,1.05,0.95,34.615,false
7,0.056,0.028,0.505,0.117,1.05,0.95,34.615,false
8,0.059,0.032,0.539,0.115,1.05,0.95,34.615,false
9,0.061,0.035,0.568,0.114,1.05,0.95,34.615,false
10,0.064,0.038,0.596,0.111,1.05,0.95,34.615,false
