tempo_anos,P_falha_MPa,S_selante,S_falha_selo,S_FSASP,massa_CO2_livre_kt,massa_CO2_dissolvida_kt,fracao_dissolvida
1.0,34.018,0.0,0.0,0.0,1.06,0.35,0.2477
2.0,33.966,0.0,0.0,0.0,2.11,0.56,0.2097
3.0,33.931,0.0,0.0,0.0,3.17,0.7,0.1813
4.0,33.907,0.0,0.0,0.0,4.22,0.8,0.1601
5.0,33.888,0.0,0.0,0.0,5.26,0.9,0.1467
6.0,33.868,0.0,0.0,0.0,6.28,1.01,0.1387
7.0,33.856,0.0,0.0,0.0,7.29,1.11,0.1319
8.0,33.848,0.0,0.0,0.0,8.27,1.22,0.1284
9.0,33.885,0.0,0.0,0.0,9.24,1.35,0.1274
10.0,33.939,0.0,0.0,0.0,10.24,1.44,0.1234
11.0,33.978,0.0,0.0,0.0,11.25,1.54,0.1204
12.0,34.029,0.0,0.0838,0.0,12.27,1.63,0.1172
13.0,34.062,0.0,0.2958,0.0,13.22,1.68,0.1128
14.0,34.084,0.0,0.3624,0.0,14.06,1.72,0.1091
15.0,34.078,0.0,0.3944,0.0,14.8,1.73,0.1047
16.0,34.064,0.0,0.4141,0.0,15.43,1.74,0.1012
17.0,34.032,0.0,0.4322,0.048789,15.95,1.74,0.0982
18.0,34.0,0.0,0.4437,0.168432,16.35,1.74,0.0963
19.0,33.98,0.0,0.4523,0.247602,16.7,1.75,0.0947
20.0,33.966,0.0,0.4593,0.298146,17.02,1.74,0.0929
25.0,35.107,0.0,0.2422,0.186707,17.01,1.76,0.0939
30.0,35.102,0.0,0.2351,0.181584,16.99,1.78,0.0947
35.0,35.094,0.0,0.2334,0.176946,16.98,1.79,0.0952
40.0,35.067,0.0,0.2318,0.172341,16.96,1.81,0.0963
45.0,35.052,0.0,0.2303,0.167722,16.95,1.82,0.0969
50.0,35.031,0.0,0.2293,0.16313,16.93,1.83,0.0977
